Item Number,Product Line,Category,SubClass,Item Description,Price,Cost,Tangible?,Serial?,Tax?
1121670010,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID GOLD,5,24.99,True,False,True
1122670010,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING GOLD,5,24.99,True,False,True
1123670010,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER GOLD,5,24.99,True,False,True
1121670011,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID SILVER,5,24.99,True,False,True
1122670011,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING SILVER,5,24.99,True,False,True
1123670011,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER SILVER,5,24.99,True,False,True
1121670012,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID ROSE GOLD,5,24.99,True,False,True
1122670012,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING ROSE GOLD,5,24.99,True,False,True
1123670012,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER ROSE GOLD,5,24.99,True,False,True
1121670013,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - SOLID ORANGE,5,24.99,True,False,True
1122670013,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - BLING ORANGE,5,24.99,True,False,True
1123670013,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - GLITTER ORANGE,5,24.99,True,False,True
1124670001,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN MISC DESIGN,5,24.99,True,False,True
1124670002,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN SEASHELL,5,24.99,True,False,True
1124670003,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN CAMO,5,24.99,True,False,True
1124670004,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN BUTTERFLIES,5,24.99,True,False,True
1124670005,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN FLOWERS,5,24.99,True,False,True
1124670006,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN FEATHERS,5,24.99,True,False,True
1124670007,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN MARBLE OR STONE,5,24.99,True,False,True
1124670008,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN HEARTS OR KISSES,5,24.99,True,False,True
1124670009,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN CANDY OR FOOD,5,24.99,True,False,True
1124670010,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN ANIMALS,5,24.99,True,False,True
1124670011,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN SHAPES,5,24.99,True,False,True
1124670012,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN SPORTS,5,24.99,True,False,True
1124670013,ACCESSORY,PROTECTIVE,WALLET,APPLE IPHONE X WALLET - DESIGN PLAID,5,24.99,True,False,True
1131670001,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID MISC COLOR,5,24.99,True,False,True
1131670002,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID BLACK,5,24.99,True,False,True
1131670003,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID GRAY,5,24.99,True,False,True
1131670004,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID RED,5,24.99,True,False,True
1131670005,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID BLUE,5,24.99,True,False,True
1131670006,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID GREEN,5,24.99,True,False,True
1131670007,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID WHITE,5,24.99,True,False,True
1131670008,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID PINK,5,24.99,True,False,True
1131670009,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID PURPLE,5,24.99,True,False,True
1131670010,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID GOLD,5,24.99,True,False,True
1131670011,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID SILVER,5,24.99,True,False,True
1131670012,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID ROSE GOLD,5,24.99,True,False,True
1131670013,ACCESSORY,PROTECTIVE,CLIP,APPLE IPHONE X CLIP - SOLID ORANGE,5,24.99,True,False,True
1201670000,ACCESSORY,SCREEN CARE,SCREEN,APPLE IPHONE X SCREEN,2,14.99,True,False,True
1211670000,ACCESSORY,SCREEN CARE,TEMPERED,APPLE IPHONE X TEMPERED,5,29.99,True,False,True
1101825901,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID MISC COLOR,5,29.99,True,False,True
1101825902,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID BLACK,5,29.99,True,False,True
1101825903,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID GRAY,5,29.99,True,False,True
1101825904,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID RED,5,29.99,True,False,True
1101825905,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID BLUE,5,29.99,True,False,True
1101825906,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID GREEN,5,29.99,True,False,True
1101825907,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID WHITE,5,29.99,True,False,True
1101825908,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID PINK,5,29.99,True,False,True
1101825909,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID PURPLE,5,29.99,True,False,True
1101825910,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID GOLD,5,29.99,True,False,True
1101825911,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID SILVER,5,29.99,True,False,True
1101825912,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID ROSE GOLD,5,29.99,True,False,True
1101825913,ACCESSORY,PROTECTIVE,ARMOR BOX,ALCATEL GO FLIP ARMOR BOX - SOLID ORANGE,5,29.99,True,False,True
1111825901,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID MISC COLOR,4,19.99,True,False,True
1112825901,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING MISC COLOR,4,19.99,True,False,True
1113825901,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER MISC COLOR,4,19.99,True,False,True
1111825902,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID BLACK,4,19.99,True,False,True
1112825902,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING BLACK,4,19.99,True,False,True
1113825902,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER BLACK,4,19.99,True,False,True
1111825903,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID GRAY,4,19.99,True,False,True
1112825903,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING GRAY,4,19.99,True,False,True
1113825903,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER GRAY,4,19.99,True,False,True
1111825904,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID RED,4,19.99,True,False,True
1112825904,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING RED,4,19.99,True,False,True
1113825904,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER RED,4,19.99,True,False,True
1111825905,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID BLUE,4,19.99,True,False,True
1112825905,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING BLUE,4,19.99,True,False,True
1113825905,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER BLUE,4,19.99,True,False,True
1111825906,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID GREEN,4,19.99,True,False,True
1112825906,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING GREEN,4,19.99,True,False,True
1113825906,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER GREEN,4,19.99,True,False,True
1111825907,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID WHITE,4,19.99,True,False,True
1112825907,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING WHITE,4,19.99,True,False,True
1113825907,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER WHITE,4,19.99,True,False,True
1111825908,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID PINK,4,19.99,True,False,True
1112825908,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING PINK,4,19.99,True,False,True
1113825908,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - GLITTER PINK,4,19.99,True,False,True
1111825909,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - SOLID PURPLE,4,19.99,True,False,True
1112825909,ACCESSORY,PROTECTIVE,SILICONE,ALCATEL GO FLIP SILICONE - BLING PURPLE,4,19.99,True,False,True
